SV, 74, 186
XN, 94, 189
VZ, 77, 155
RH, 83, 148
YV, 88, 191
DK, 93, 182
DF, 99, 174
RK, 44, 152
VB, 57, 194
ZT, 44, 147
QE, 60, 159
RY, 94, 152
PE, 58, 169
YJ, 73, 161
YK, 71, 193
VO, 83, 185
PE, 73, 197
UV, 56, 190
HW, 86, 172
UB, 58, 144
OC, 86, 176
VO, 61, 152
IH, 77, 148
GL, 43, 143
NE, 81, 193
PI, 58, 190
LV, 99, 168
RU, 97, 167
EU, 98, 184
CK, 95, 183
RX, 54, 181
VM, 94, 186
AI, 83, 175
VG, 99, 186
CI, 68, 172
LC, 65, 191
FO, 58, 174
RN, 95, 180
GU, 96, 171
SO, 55, 181
SE, 59, 162
BT, 50, 190
KP, 47, 172
QG, 82, 148
PC, 45, 178
XE, 81, 194
CR, 47, 161
HW, 73, 142
JQ, 87, 196
VB, 84, 180
XJ, 74, 182
GB, 93, 147
CK, 91, 186
CS, 65, 170
FR, 49, 151
LT, 99, 165
WZ, 74, 158
LR, 93, 141
FX, 53, 160
JW, 54, 198
YR, 74, 153
OX, 88, 179
PU, 80, 187
IN, 72, 178
AR, 98, 141
GW, 88, 176
ZX, 59, 158
PD, 46, 185
NM, 81, 159
AK, 65, 154
BA, 97, 166
KS, 46, 161
WC, 70, 190
ZC, 91, 146
KT, 53, 143
OG, 58, 184
ER, 71, 160
RK, 78, 146
FT, 84, 161
CE, 51, 168
PD, 41, 181
BT, 70, 149
PY, 96, 163
IS, 73, 191
JF, 45, 157
RZ, 71, 152
WD, 45, 171
NQ, 61, 189
CP, 67, 173
PO, 98, 169
NZ, 72, 154
RH, 95, 179
FD, 45, 168
LH, 73, 193
AF, 99, 156
AA, 54, 173
UJ, 83, 157
TD, 91, 196
CV, 86, 168
IH, 82, 174
LV, 98, 150
GO, 47, 189
GO, 81, 160
KZ, 76, 140
JS, 74, 166
DG, 73, 164
JI, 76, 194
IQ, 45, 197
XR, 88, 155
YR, 49, 172
GT, 63, 186
YQ, 45, 163
JW, 53, 173
RC, 94, 174
FH, 47, 177
TC, 79, 192
WH, 51, 142
UC, 99, 187
JJ, 91, 156
AL, 79, 190
PQ, 55, 144
FP, 43, 153
SK, 71, 168
OP, 85, 143
QR, 85, 186
UZ, 54, 140
LY, 65, 175
DQ, 85, 196
BB, 60, 156
QW, 51, 166
AG, 74, 166
YL, 65, 166
SV, 42, 197
TU, 66, 144
MS, 44, 184
RS, 86, 175
VS, 98, 185
GC, 60, 157
QN, 84, 168
KM, 81, 152
ZZ, 71, 192
OV, 79, 164
JA, 87, 152
AC, 73, 160
OE, 59, 195
NK, 59, 190
VW, 44, 183
CA, 80, 164
QD, 40, 149
JI, 51, 170
IB, 91, 194
EW, 93, 173
ZD, 67, 193
NG, 57, 187
YS, 61, 178
OY, 84, 140
PA, 95, 180
DK, 73, 145
YB, 50, 157
RF, 85, 177
FZ, 90, 175
CZ, 42, 143
XT, 75, 190
AT, 63, 146
EO, 45, 164
NW, 80, 195
OE, 70, 148
TH, 56, 187
HH, 45, 152
JT, 91, 145
VT, 41, 141
DD, 62, 181
UD, 75, 194
DY, 90, 199
FF, 42, 186
OJ, 74, 172
FC, 50, 174
FE, 85, 198
DJ, 86, 185
DM, 71, 143
UC, 76, 161
KG, 80, 188
LH, 52, 181
NU, 60, 186
BR, 57, 189
IN, 49, 172
FS, 64, 171
OS, 71, 199
AC, 59, 183
TG, 56, 190
VV, 65, 198
HR, 91, 175
VX, 92, 143
RE, 45, 142
KL, 44, 189
XB, 90, 159
QN, 85, 140
JK, 56, 181
GC, 95, 160
MC, 88, 156
SB, 81, 174
NZ, 81, 151
OC, 55, 168
BM, 46, 148
TB, 56, 145
PV, 68, 187
JK, 52, 146
KK, 42, 175
MR, 64, 190
XG, 82, 188
YF, 92, 159
FO, 96, 163
BJ, 96, 160
RM, 80, 153
OU, 43, 164
OM, 75, 193
HJ, 90, 181
KB, 46, 159
PU, 99, 141
BB, 76, 159
WH, 65, 190
VP, 88, 146
WS, 92, 172
XW, 46, 150
JA, 79, 151
HK, 67, 194
GX, 85, 175
ON, 76, 184
QH, 88, 188
ML, 80, 141
JA, 42, 156
UG, 44, 196
JZ, 74, 178
MI, 66, 160
JA, 91, 143
LE, 58, 173
ZP, 88, 180
MW, 42, 169
RF, 99, 159
AD, 90, 154
PM, 72, 148
AB, 56, 160
KV, 72, 142
DS, 50, 186
OQ, 82, 164
VW, 65, 168
VA, 92, 185
UH, 81, 155
RG, 59, 163
CJ, 70, 157
DZ, 91, 192
ZI, 83, 153
XG, 41, 183
AG, 50, 180
BS, 50, 184
TP, 88, 166
CF, 74, 147
TH, 41, 143
BP, 66, 187
CC, 87, 175
SI, 59, 192
PA, 67, 154
KB, 92, 193
YB, 86, 188
HK, 44, 166
TJ, 88, 191
EB, 79, 167
LY, 69, 193
AD, 60, 169
DQ, 92, 186
TZ, 90, 176
CP, 94, 181
IX, 87, 194
OS, 66, 191
OU, 88, 160
IY, 97, 179
FO, 99, 164
ZQ, 54, 178
YH, 72, 161
CW, 76, 197
XW, 77, 140
IP, 48, 190
IO, 69, 150
IQ, 74, 161
GW, 74, 183
GE, 86, 173
EY, 56, 167
XF, 69, 181
WN, 43, 175
AY, 87, 179
YP, 62, 174
CF, 66, 176
RU, 49, 186
OL, 96, 167
TG, 70, 165
WB, 47, 188
MX, 84, 174
RE, 92, 158
FC, 93, 164
GE, 57, 156
LN, 97, 161
QG, 76, 184
CA, 46, 158
SD, 72, 190
BG, 56, 178
OL, 53, 171
YN, 40, 156
WB, 52, 159
KW, 87, 149
BX, 53, 178
MJ, 75, 180
JZ, 99, 170
TA, 47, 184
FS, 53, 163
AH, 91, 168
CW, 47, 182
KK, 51, 174
UI, 43, 184
EG, 66, 172
RK, 83, 191
GP, 97, 199
LA, 47, 195
PL, 55, 168
HQ, 83, 170
NQ, 65, 145
UX, 77, 170
VU, 82, 194
QN, 59, 147
YD, 91, 145
FM, 46, 141
OZ, 67, 143
AS, 62, 164
OE, 89, 183
ZR, 44, 193
VS, 47, 178
XY, 74, 170
DK, 75, 184
FO, 58, 152
AP, 43, 173
GO, 73, 165
VR, 73, 190
HF, 54, 184
PZ, 76, 183
CE, 66, 140
ZQ, 42, 173
QB, 95, 162
CR, 81, 173
BW, 83, 159
VI, 84, 185
CU, 59, 140
VB, 42, 151
EK, 54, 167
VQ, 84, 144
PR, 48, 188
HZ, 93, 177
BA, 58, 165
YZ, 89, 188
FO, 46, 178
OI, 75, 149
RF, 71, 159
FB, 86, 161
PT, 78, 141
TA, 53, 164
ZB, 96, 195
GG, 88, 176
LB, 53, 140
QQ, 87, 146
DY, 81, 168
JH, 85, 195
RS, 74, 150
VS, 94, 161
AF, 80, 140
BC, 43, 148
FM, 64, 197
AP, 47, 174
LD, 88, 154
BB, 72, 190
DR, 62, 180
HJ, 85, 172
PH, 97, 195
NK, 64, 182
JS, 88, 155
TZ, 61, 183
PP, 57, 168
BH, 41, 162
XI, 86, 193
WU, 66, 197
KK, 97, 198
EK, 78, 169
AC, 85, 179
VH, 86, 158
IZ, 76, 175
XR, 45, 196
GR, 45, 196
MF, 51, 151
NA, 55, 172
IR, 83, 198
JY, 72, 158
DO, 67, 166
LJ, 60, 145
KH, 59, 190
MV, 91, 143
YI, 80, 174
VK, 79, 179
JA, 85, 191
XE, 56, 140
QJ, 55, 175
LK, 96, 142
SZ, 50, 176
EP, 50, 199
UW, 96, 159
FP, 80, 185
CP, 95, 150
VM, 97, 194
DK, 67, 147
BA, 68, 142
EG, 49, 162
YI, 57, 157
FW, 67, 164
BY, 92, 153
EC, 99, 191
WP, 71, 185
OX, 47, 172
CM, 68, 159
BF, 59, 170
XQ, 59, 189
LV, 58, 162
OH, 50, 197
YN, 98, 159
KT, 75, 174
OO, 63, 186
WD, 62, 192
TO, 59, 161
FV, 53, 189
NW, 87, 168
AL, 68, 192
ZH, 76, 149
BR, 76, 182
OY, 76, 155
ED, 59, 170
AF, 47, 162
GT, 77, 173
OA, 98, 191
EF, 86, 183
MW, 84, 188
QV, 56, 149
DL, 78, 183
QX, 85, 185
HF, 67, 164
KK, 90, 150
EA, 72, 191
TX, 60, 148
IG, 61, 188
SB, 83, 194
JG, 57, 179
TW, 92, 168
KQ, 98, 170
ZO, 45, 186
ZD, 73, 149
HY, 81, 162
BQ, 95, 153
NH, 86, 177
QL, 61, 189
UH, 86, 155
NE, 95, 197
RK, 71, 173
TK, 62, 183
JD, 47, 148
QH, 91, 169
BK, 66, 176
MY, 40, 177
UQ, 98, 192
EO, 84, 195
ZQ, 55, 150
FF, 75, 188
ZQ, 66, 165
IP, 71, 184
PJ, 79, 157
HM, 64, 161
BQ, 48, 152
ZI, 81, 184
HL, 59, 197
MB, 54, 169
TL, 46, 161
EP, 81, 170
MA, 61, 160
QB, 64, 156
SN, 79, 148
LT, 64, 149
BW, 42, 192
FF, 54, 156
KK, 57, 192
QW, 88, 193
AA, 62, 156
OX, 68, 147
WN, 72, 156
VG, 83, 155
DH, 56, 153
YU, 64, 184
DJ, 76, 143
GC, 80, 162
OW, 80, 145
SA, 58, 178
JH, 50, 196
QZ, 54, 197
LZ, 92, 176
RG, 96, 171
ID, 59, 192
MA, 72, 182
SM, 54, 145
BS, 68, 178
BE, 92, 186
ZH, 61, 178
FI, 62, 165
JX, 60, 146
ZQ, 55, 174
DW, 70, 189
GQ, 56, 196
AG, 73, 158
LY, 40, 176
MI, 50, 142
ES, 88, 178
KS, 41, 142
KH, 63, 140
VW, 50, 169
EE, 40, 192
XB, 50, 180
IS, 48, 154
EA, 83, 166
ZL, 85, 147
SS, 51, 149
PY, 43, 140
AJ, 96, 178
FP, 48, 140
BT, 64, 166
VR, 88, 142
GL, 90, 172
BM, 42, 184
VX, 99, 151
QA, 70, 168
UN, 79, 188
PS, 83, 175
WL, 74, 149
LL, 72, 152
VX, 49, 197
DR, 59, 179
GZ, 78, 191
JX, 68, 155
IC, 97, 145
RW, 75, 141
IS, 69, 146
VV, 46, 153
KA, 94, 187
PM, 54, 197
KH, 74, 190
NQ, 64, 187
AK, 89, 172
UE, 63, 156
EC, 41, 172
DS, 96, 179
SN, 92, 144
JD, 54, 191
UN, 43, 175
AQ, 48, 174
YW, 96, 186
NG, 44, 156
LM, 69, 185
QR, 65, 151
FR, 72, 141
SY, 44, 190
ZK, 60, 149
FG, 72, 163
AZ, 61, 164
KA, 71, 140
GV, 74, 185
NW, 55, 174
SK, 78, 173
FG, 70, 168
EE, 65, 149
SA, 88, 188
KJ, 64, 176
OF, 71, 155
MM, 68, 188
JP, 91, 143
GO, 75, 171
RJ, 92, 195
BH, 69, 180
RK, 82, 186
DD, 83, 172
QU, 54, 183
QT, 61, 195
CP, 54, 141
RX, 94, 167
NR, 65, 148
HQ, 55, 179
GJ, 92, 187
QE, 55, 190
WG, 42, 161
ES, 61, 157
QJ, 90, 175
GQ, 89, 171
LT, 44, 143
VK, 49, 154
EK, 67, 150
XP, 58, 168
XM, 83, 156
CI, 57, 185
KE, 72, 192
RQ, 62, 198
UE, 99, 140
JV, 52, 168
AB, 53, 196
TQ, 95, 189
QX, 65, 155
QA, 92, 198
QI, 53, 183
TN, 86, 176
MT, 59, 159
GV, 51, 199
FR, 57, 165
HA, 96, 193
YN, 91, 156
ZF, 89, 176
TR, 69, 153
FU, 47, 144
ND, 77, 143
FM, 81, 171
XK, 67, 164
AK, 78, 177
FL, 73, 166
NR, 59, 159
MR, 81, 147
OZ, 48, 147
WH, 77, 167
CT, 89, 141
TM, 98, 140
QE, 47, 155
EQ, 96, 143
RC, 52, 149
XW, 47, 158
VO, 97, 145
UD, 40, 185
NO, 66, 186
DU, 87, 182
KV, 72, 152
EA, 61, 158
QR, 76, 150
RE, 78, 199
WE, 69, 173
WS, 86, 187
ER, 75, 172
UO, 87, 141
CF, 55, 153
ZS, 76, 180
FP, 67, 195
TY, 51, 177
OI, 72, 190
JB, 83, 170
QY, 50, 182
GB, 94, 142
FJ, 83, 182
WR, 97, 185
ZP, 93, 180
HG, 89, 182
AV, 78, 153
AU, 67, 158
YK, 66, 148
FW, 54, 148
UV, 99, 179
QL, 89, 147
NY, 54, 161
WE, 92, 169
LE, 52, 145
CH, 80, 147
NE, 59, 146
KC, 46, 171
HZ, 76, 152
YN, 99, 177
FK, 58, 159
JD, 54, 183
VI, 41, 185
YT, 89, 164
WE, 76, 196
VW, 55, 186
BW, 87, 162
YN, 54, 147
KZ, 94, 140
TU, 61, 164
MO, 96, 199
IH, 46, 169
QN, 83, 163
RP, 47, 146
NE, 87, 182
AG, 92, 156
YX, 91, 160
OF, 99, 160
LC, 86, 144
KD, 69, 150
XF, 67, 166
TE, 44, 162
LS, 71, 179
MQ, 45, 175
KD, 84, 146
FR, 55, 173
NX, 79, 155
OC, 64, 150
OE, 47, 168
ZP, 82, 165
VX, 51, 158
XG, 48, 144
DB, 67, 196
BX, 61, 150
SC, 54, 189
SJ, 92, 155
TC, 79, 171
US, 99, 149
YP, 49, 144
QQ, 70, 170
LH, 86, 192
SP, 81, 188
TK, 55, 158
IG, 88, 199
HH, 89, 193
UH, 48, 175
BK, 56, 183
AE, 72, 143
IP, 79, 182
DY, 70, 179
ZI, 60, 143
GS, 89, 168
RP, 44, 180
MI, 93, 178
OT, 69, 144
ZT, 77, 176
KW, 59, 184
KU, 80, 159
QA, 84, 165
AL, 86, 160
XC, 91, 182
RH, 94, 183
XY, 48, 153
WC, 87, 183
LP, 54, 175
YZ, 76, 185
AI, 66, 186
XS, 51, 195
DB, 81, 187
XR, 75, 161
CY, 67, 181
DZ, 92, 164
PL, 88, 179
IM, 55, 169
FC, 71, 155
FD, 94, 159
SS, 72, 193
ET, 72, 186
QC, 74, 197
RM, 83, 141
SZ, 50, 165
PD, 47, 185
NT, 67, 152
EZ, 96, 168
MN, 55, 148
YL, 84, 141
FY, 50, 192
XF, 65, 149
GA, 65, 148
GA, 97, 178
GR, 42, 157
MJ, 94, 140
HJ, 77, 194
ZY, 78, 189
WF, 84, 146
FN, 99, 154
JN, 52, 144
GW, 43, 167
OG, 41, 193
KC, 59, 181
BE, 56, 144
KC, 92, 172
IF, 54, 159
LU, 74, 149
DG, 40, 189
QE, 99, 188
FQ, 73, 172
HQ, 88, 153
YR, 50, 161
QW, 45, 172
PP, 72, 198
HH, 95, 161
QG, 57, 158
EB, 61, 185
QT, 44, 165
HA, 58, 176
OC, 85, 176
XH, 43, 189
XL, 96, 146
CW, 59, 191
ZD, 70, 182
AG, 86, 197
XS, 68, 167
SA, 73, 186
MX, 81, 152
VV, 75, 175
YT, 45, 161
DJ, 68, 141
CB, 77, 153
MX, 94, 193
MU, 75, 159
CI, 93, 193
OF, 48, 171
FC, 76, 157
GP, 48, 195
PC, 77, 187
OR, 41, 189
TB, 41, 169
AF, 83, 183
RT, 99, 175
FE, 49, 190
MF, 58, 160
EQ, 40, 194
KU, 51, 185
RS, 52, 196
AJ, 93, 195
